"Phường Xã","province_id","district_id"
"Xã Hồ Thầu","348","1054"
"Xã Nam Sơn","348","1054"
"Xã Nậm Tỵ","348","1054"
"Xã Thông Nguyên","348","1054"
"Xã Nậm Khòa","348","1054"
"Thị trấn Cốc Pài","348","1055"
"Xã Nàn Xỉn","348","1055"
"Xã Bản Díu","348","1055"
"Xã Chí Cà","348","1055"
"Xã Xín Mần","348","1055"
"Xã Trung Thịnh","348","1055"
"Xã Thèn Phàng","348","1055"
"Xã Ngán Chiên","348","1055"
"Xã Pà Vầy Sủ","348","1055"
"Xã Cốc Rế","348","1055"
"Xã Thu Tà","348","1055"
"Xã Nàn Ma","348","1055"
"Xã Tả Nhìu","348","1055"
"Xã Bản Ngò","348","1055"
"Xã Chế Là","348","1055"
"Xã Nấm Dẩn","348","1055"
"Xã Quảng Nguyên","348","1055"
"Xã Nà Chì","348","1055"
"Xã Khuôn Lùng","348","1055"
"Thị trấn Việt Quang","348","1056"
"Thị trấn Vĩnh Tuy","348","1056"
"Xã Tân Lập","348","1056"
"Xã Tân Thành","348","1056"
"Xã Đồng Tiến","348","1056"
"Xã Đồng Tâm","348","1056"
"Xã Tân Quang","348","1056"
"Xã Thượng Bình","348","1056"
"Xã Hữu Sản","348","1056"
"Xã Kim Ngọc","348","1056"
"Xã Việt Vinh","348","1056"
